name,country,national_party,ep_group,notes
Marie-Anne Isler-Béguin,France,Est,Les Verts,Greens-EFA
Ville Itälä,Finland,&#160;,KOK,EPP-ED
Carlos José Iturgaiz Angulo,Spain,&#160;,PP,EPP-ED
Anneli Jäätteenmäki,Finland,&#160;,KESK,ALDE
Caroline Jackson,United Kingdom,South West England,Con,EPP-ED
Lily Jacobsfrom 4 September 2007,Netherlands,&#160;,PvdA,PES
Stanisław Jałowiecki,Poland,DS &amp; OP,PO,EPP-ED
Mieczysław Janowski,Poland,PK,PiS,UEN
Lívia Járóka,Hungary,&#160;,FIDESZ/MPSZ,EPP-ED
Georg Jarzembowski,Germany,Hamburg,CDU,EPP-ED
Elisabeth Jeggle,Germany,Baden-Württemberg,CDU,EPP-ED
Rumiana Jelevafrom May 2007,Bulgaria,&#160;,GERB,EPP-ED
Anne Elisabet Jensen,Denmark,&#160;,V,ALDE
Pierre Jonckheer,Belgium,French Community,Ecolo,Greens-EFA
Karin Jöns,Germany,&#160;,SPD,PES
Romana Jordan Cizelj,Slovenia,&#160;,SDS,EPP-ED
Dan Jørgensen,Denmark,&#160;,SD,PES
Madeleine de Grandmaisonfrom 9 November 2007,France,outre-mer,RDM,EUL/NGL
Ona Juknevičienė,Lithuania,&#160;,DP,ALDE
Aurelio Jurifrom 7 November 2008,Slovenia,&#160;,SD,PES
Jelko Kacin,Slovenia,&#160;,LDS/DeSUS,ALDE
Filip Kaczmarek,Poland,WP,PO,EPP-ED
Gisela Kallenbach,Germany,&#160;,Die Grünen,Greens-EFA
Syed Kamall from 12 May 2005,United Kingdom,London,Con,EPP-ED
Othmar Karas,Austria,&#160;,ÖVP,EPP-ED
Saj Karim,United Kingdom,North West England,Con,EPP-ED
Ioannis Kasoulides,Cyprus,&#160;,DISY,EPP-ED
Martin Kastlerfrom 4 December 2008,Germany,Bavaria,CSU,EPP-ED
Sylvia-Yvonne Kaufmann,Germany,&#160;,PDS,EUL/NGL
Metin Kazakfrom 6 June 2007,Bulgaria,&#160;,DPS,ALDE
Tunne Kelam,Estonia,&#160;,IL,EPP-ED
Robert Kilroy-Silk,United Kingdom,East Midlands,Veritas,NI
Heinz Kindermann,Germany,&#160;,SPD,PES
Glenys Kinnock,United Kingdom,Wales,Lab,PES
Evgeni Kirilovfrom 1 January 2007,Bulgaria,&#160;,KzB,PES
Timothy Kirkhope,United Kingdom,Yorkshire and the Humber,Con,EPP-ED
Ewa Klamt,Germany,Lower Saxony,CDU,EPP-ED
Christa Klaß,Germany,Rhineland-Palatinate,CDU,EPP-ED
Wolf Klinz,Germany,&#160;,FDP,ALDE
Roger Knapman,United Kingdom,South West England,UKIP,IND/DEM
Dieter-Lebrecht Koch,Germany,Thuringia,CDU,EPP-ED
Silvana Koch-Mehrin,Germany,&#160;,FDP,ALDE
Jaromír Kohlíček,Czech Republic,&#160;,KSCM,EUL/NGL
Christoph Werner Konrad,Germany,North Rhine-Westphalia,CDU,EPP-ED
Maria Eleni Koppafrom 1 October 2007,Greece,&#160;,PASOK,PES
Eija-Riitta Korhola,Finland,&#160;,KOK,EPP-ED
Magda Kósáné Kovács,Hungary,&#160;,MSZP,PES
Miloš Koterec,Slovakia,&#160;,SMER,PES
Sergej Kozlík,Slovakia,&#160;,LS – HZDS,NI
Holger Krahmer,Germany,&#160;,FDP,ALDE
Guntars Krasts,Latvia,&#160;,TB/LNNK,UEN
Rodi Kratsa-Tsagaropoulou,Greece,&#160;,ND,EPP-ED
Konstanze Krehl,Germany,&#160;,SPD,PES
Wolfgang Kreissl-Doerfler,Germany,&#160;,SPD,PES
Girts Valdis Kristovskis,Latvia,&#160;,TB/LNNK,UEN
Urszula Krupa,Poland,LD,LPR,IND/DEM
Wiesław Kuc,Poland,LU,Samoobrona,UEN
Helmut Kuhne,Germany,&#160;,SPD,PES
Jan Kułakowski,Poland,WP,UW,ALDE
Aldis Kuškis,Latvia,&#160;,JL,EPP-ED
Sepp Kusstatscher,Italy,North-East,Verdi,Greens-EFA
Zbigniew Kuźmiuk,Poland,MA,"PSL ""Piast""",UEN
Joost Lagendijk,Netherlands,&#160;,GroenLinks,Greens-EFA
André Laignel,France,Massif central – Centre,PS,PES
Alain Lamassoure,France,Sud-Ouest,UMP,EPP-ED
Jean Lambert,United Kingdom,London,Greens (E&amp;W),Greens-EFA
Stavros Lambrinidis,Greece,&#160;,PASOK,PES
Alexander Lambsdorff Graf,Germany,&#160;,FDP,ALDE
Vytautas Landsbergis,Lithuania,&#160;,TS-LK,EPP-ED
Carl Lang,France,Nord-Ouest,FN,NI
Werner Langen,Germany,Rhineland-Palatinate,CDU,EPP-ED
Raymond Langendries,Belgium,French Community,CDH,EPP-ED
Anne Laperrouze,France,Sud-Ouest,UDF,ALDE
Kurt Joachim Lauk,Germany,Baden-Württemberg,CDU,EPP-ED
Vincenzo Lavarrafrom 24 May 2005,Italy,North-West,DS,PES
Henrik Lax,Finland,&#160;,SFP,ALDE
Stéphane Le Foll,France,Ouest,PS,PES
Jean-Marie Le Pen,France,Sud-Est,FN,NI
Marine Le Pen,France,Ile-de-France,FN,NI
Fernand Le Rachinelfrom 22 October 2004,France,Nord-Ouest,FN,NI
Johannes Lebechfrom 29 November 2007,Denmark,&#160;,RV,ALDE
Kurt Lechner,Germany,Rhineland-Palatinate,CDU,EPP-ED
Bernard Lehideux,France,Ile-de-France,UDF,ALDE
Klaus-Heiner Lehne,Germany,North Rhine-Westphalia,CDU,EPP-ED
Lasse Lehtinen,Finland,&#160;,SDP,PES
Jörg Leichtfried,Austria,&#160;,SPÖ,PES
Roselyne Lefrançoisfrom 4 July 2007,France,Ouest,PS,PES
Jo Leinen,Germany,&#160;,SPD,PES
Innocenzo Leontinifrom 23 June 2008,Italy,Islands,FI,EPP-ED
Katalin Lévai,Hungary,&#160;,MSZP,PES
Janusz Lewandowski,Poland,PM,PO,EPP-ED
Bogusław Liberadzki,Poland,LB &amp; ZP,SLD/UP,PES
Marcin Libicki,Poland,WP,PiS,UEN
Eva Lichtenberger,Austria,&#160;,Grünen,Greens-EFA
Marie-Noëlle Lienemann,France,Nord-Ouest,PS,PES
