Name,Country,Constituency,National_Party,EP_Group,In_Office_Since,Birth_Date,Notes
Jan-Peter Warnke,Germany,,BSW,Non-Inscrits,,16 July 2024,
Andreas Glück,Germany,,FDP,Renew Europe,,2 July 2019,
Svenja Hahn,Germany,,FDP,Renew Europe,,2 July 2019,
Moritz Körner,Germany,,FDP,Renew Europe,,2 July 2019,
Jan-Christoph Oetjen,Germany,,FDP,Renew Europe,,2 July 2019,
Marie-Agnes Strack-Zimmermann,Germany,,FDP,Renew Europe,,16 July 2024,
Özlem Demirel-Böhlke,Germany,,Left,The Left,,2 July 2019,
Martin Günther,Germany,,Left,The Left,,16 September 2025,
Martin Schirdewan,Germany,,Left,The Left,,8 November 2017,
Engin Eroglu,Germany,,FW,Renew Europe,,2 July 2019,
Christine Singer,Germany,,FW,Renew Europe,,16 July 2024,
Joachim Streit,Germany,,FW,Renew Europe,,16 July 2024,
Damian Boeselager,Germany,,Volt,Greens/EFA,,2 July 2019,
Nela Riehl,Germany,,Volt,Greens/EFA,,16 July 2024,
Kai Tegethoff,Germany,,Volt,Greens/EFA,,16 July 2024,
Sibylle Berg,Germany,,PARTEI,Non-Inscrits,,16 July 2024,
Martin Sonneborn,Germany,,PARTEI,Non-Inscrits,,1 July 2014,
Sebastian Everding,Germany,,PMUT,The Left,,16 July 2024,
Manuela Ripa,Germany,,ÖDP,EPP,,16 July 2020,
Niels Geuking,Germany,,FAM,EPP,,5 February 2024,
Lukas Sieper,Germany,,PDF,Non-Inscrits,,16 July 2024,
Giorgos Aftias,Greece,,ND,EPP,,16 July 2024,
Vangelis Meimarakis,Greece,,ND,EPP,,2 July 2019,
Eliza Vozemberg,Greece,,ND,EPP,,1 July 2014,
Fredis Beleris,Greece,,ND,EPP,,16 July 2024,
Eleonora Meleti,Greece,,ND,EPP,,16 July 2024,
Manolis Kefalogiannis,Greece,,ND,EPP,,1 July 2014,
Dimitris Tsiodras,Greece,,ND,EPP,,16 July 2024,
Kostas Arvanitis,Greece,,SYRIZA,The Left,,2 July 2019,
Nikolas Farantouris,Greece,,SYRIZA,The Left,,16 July 2024,
Nikos Pappas,Greece,,SYRIZA,The Left,,16 July 2024,
Elena Kountoura,Greece,,SYRIZA,The Left,,2 July 2019,
Nikos Papandreou,Greece,,PASOK,S&D,,3 May 2023,
Giannis Maniatis,Greece,,PASOK,S&D,,16 July 2024,
Sakis Arnaoutoglou,Greece,,PASOK,S&D,,16 July 2024,
Emmanouil Fragkos,Greece,,EL,ECR,,2 July 2019,
Galato Alexandraki,Greece,,EL,ECR,,16 July 2024,
Lefteris Nikolaou-Alavanos,Greece,,KKE,Non-Inscrits,,2 July 2019,
Konstantinos Papadakis,Greece,,KKE,Non-Inscrits,,1 July 2014,
