Name,Country,Constituency,National_Party,EP_Group,wikidata_id,term_start,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions
Hans Neuhoff,Germany,,AfD,Europe of Sovereign Nations,Q60583106,2024-07-16,1959-01-10,Bonn,Technische Universität Berlin || Freie Universität Berlin,politician || university teacher || musicologist || cultural sociologist,Hochschule für Musik und Tanz Köln,Alternative for Germany,,
Volker Schnurrbusch,Germany,,AfD,Europe of Sovereign Nations,Q29913754,2025-04-04,1958-01-12,Leverkusen,University of Bonn,politician,,Alternative for Germany,,member of the Landtag of Schleswig-Holstein
Alexander Sell,Germany,,AfD,Europe of Sovereign Nations,Q126723773,2024-07-16,1980-11-25,Mainz,Humboldt-Universität zu Berlin,politician,Berlin House of Representatives || Bernd Baumann,Alternative for Germany || Europe of Sovereign Nations,,party leader (from 2024-08-01)
Katarina Barley,Germany,,SPD,S&D,Q15117357,2024-07-16,1968-11-19,Cologne,University of Marburg || University of Münster || University of Paris-Sud,judge || politician || jurist || Justiciar,,Social Democratic Party of Germany,,"member of the German Bundestag (2017-10-24 to 2019-07-01) || Federal Minister of Justice and Consumer Protection (2018-03-14 to 2019-06-27) || Secretary General of the SPD (2015-12-11 to 2017-01-01) || Federal Minister for Education, Family Affairs, Senior Citizens, Women and Youth (2017-06-02 to 2018-03-14) || member of the German Bundestag (2013-10-22 to 2017-10-24)"
Gabriele Bischoff,Germany,,SPD,S&D,Q54934102,2024-07-16,1961-01-04,Bad Wildungen,,politician || trade unionist,,Social Democratic Party of Germany,,
Udo Bullmann,Germany,,SPD,S&D,Q449080,2024-07-16,1956-06-08,Giessen,University of Giessen,politician,,Social Democratic Party of Germany,,
Delara Burkhardt,Germany,,SPD,S&D,Q64071790,2024-07-16,1992-11-03,Hamburg,Kiel University,politician,,Social Democratic Party of Germany,,
Vivien Costanzo,Germany,,SPD,S&D,Q126464207,2024-07-16,1990-02-06,Heppenheim,,politician,,Social Democratic Party of Germany,,
Tobias Cremer,Germany,,SPD,S&D,Q126489153,2024-07-16,1992-06-30,Bochum,,politician,,Social Democratic Party of Germany,,
Matthias Ecke,Germany,,SPD,S&D,Q114363384,2024-07-16,1983-04-12,Meerane,Charles University || Leipzig University,politician,,Social Democratic Party of Germany,,
Jens Geier,Germany,,SPD,S&D,Q95758,2024-07-16,1961-06-22,Frankfurt,"Ruhr University Bochum || Helmholtz-Gymnasium (Essen, Germany)",politician || historian || consultant,Deloitte,Social Democratic Party of Germany,,
Bernd Lange,Germany,,SPD,S&D,,,,,,,,,,
Maria Noichl,Germany,,SPD,S&D,Q1112658,2024-07-16,1967-01-09,Rosenheim,,politician,,Social Democratic Party of Germany,,member of the Landtag of Bavaria
René Repasi,Germany,,SPD,S&D,Q110794778,2024-07-16,1979-11-08,Karlsruhe,,politician || jurist || university teacher,,Social Democratic Party of Germany,,
Sabrina Repp,Germany,,SPD,S&D,Q126457764,2024-07-16,1999-02-01,Rostock,,politician,,Social Democratic Party of Germany,,
Birgit Sippel,Germany,,SPD,S&D,Q108736,2024-07-16,1960-01-29,Bochum,,politician,,Social Democratic Party of Germany,,
Tiemo Wölken,Germany,,SPD,S&D,Q27903982,2024-07-16,1985-12-05,Otterndorf,Halepaghen-Schule || University of Hull,politician || jurist,,Social Democratic Party of Germany,,
Rasmus Andresen,Germany,,Greens,Greens/EFA,Q975171,2024-07-16,1986-02-20,Essen,FernUniversität in Hagen,politician,,Alliance '90/The Greens,,member of the Landtag of Schleswig-Holstein (2012-06-05 to 2017-06-06) || Vice President of the Landtag of Schleswig-Holstein (2017-06-06 to 2019-06-30) || member of the Landtag of Schleswig-Holstein (2009-10-27 to 2012-06-05) || member of the Landtag of Schleswig-Holstein (2017-06-06 to 2019-06-30)
Michael Bloss,Germany,,Greens,Greens/EFA,Q63979256,2024-07-16,1986-11-06,Stuttgart,,politician,,Alliance '90/The Greens,,
Anna Cavazzini,Germany,,Greens,Greens/EFA,Q64063467,2024-07-16,1982-12-12,Schlüchtern,Humboldt-Universität zu Berlin || Freie Universität Berlin,politician,,Alliance '90/The Greens,,
Daniel Freund,Germany,,Greens,Greens/EFA,Q64043969,2024-07-16,1984-10-14,Aachen,Leipzig University || Sciences Po,politician,,Alliance '90/The Greens,,
Alexandra Geese,Germany,,Greens,Greens/EFA,Q64032638,2024-07-16,1968-07-01,Lippstadt,,politician || translator || interpreter,,Alliance '90/The Greens,,
Martin Häusling,Germany,,Greens,Greens/EFA,Q95895,2024-07-16,1961-03-26,Bad Wildungen,,politician,,Alliance '90/The Greens,,member of the Landtag of Hesse
Sergey Lagodinsky,Germany,,Greens,Greens/EFA,Q2272984,2024-07-16,1975-12-01,Astrakhan,John F. Kennedy School of Government || Yale World Fellows,lawyer || politician || jurist || opinion journalist,,Alliance '90/The Greens,,
Katrin Langensiepen,Germany,,Greens,Greens/EFA,Q64032761,2024-07-16,1979-10-10,Langenhagen,,politician,,Alliance '90/The Greens,,
Erik Marquardt,Germany,,Greens,Greens/EFA,Q18222891,2024-07-16,1987-10-20,Neubrandenburg,,photographer || politician,,Alliance '90/The Greens,,
Hannah Neumann,Germany,,Greens,Greens/EFA,Q52618103,2024-07-16,1984-04-03,Speyer,Freie Universität Berlin,politician,,Alliance '90/The Greens,,
Jutta Paulus,Germany,,Greens,Greens/EFA,Q47514370,2024-07-16,1967-05-09,Giessen,University of Marburg || Herderschule Gießen,politician || pharmacist,,Alliance '90/The Greens,,
Terry Reintke,Germany,,Greens,Greens/EFA,Q1386500,2024-07-16,1987-05-09,Gelsenkirchen,Freie Universität Berlin,politician,,Alliance '90/The Greens || Green Youth || Federation of Young European Greens,,
Fabio De Masi,Germany,,BSW,Non-Inscrits,Q16999689,2024-07-16,1980-03-07,Groß-Gerau,University of Hamburg,politician || economist,,Die Linke || Sahra Wagenknecht Alliance,,member of the German Bundestag (2017-10-24 to 2021-10-26)
Ruth Firmenich,Germany,,BSW,Non-Inscrits,Q126522622,2024-07-16,1964-08-24,Cologne,,politician,,Sahra Wagenknecht Alliance,,
Thomas Geisel,Germany,,BSW,Non-Inscrits,Q17198510,2024-07-16,1963-10-26,Ellwangen,,politician,,Social Democratic Party of Germany || Sahra Wagenknecht Alliance,,lord mayor of Düsseldorf (2014-09-02 to 2020-10-31)
Friedrich Pürner,Germany,,BSW,Non-Inscrits,Q105080282,2024-07-16,1967-01-01,Aichach,Ludwig-Maximilians-Universität München,politician || Amtsarzt || author,,Sahra Wagenknecht Alliance,,
Michael von der Schulenburg,Germany,,BSW,Non-Inscrits,Q94158261,2024-07-16,1948-10-16,Munich,,politician || diplomat,,Sahra Wagenknecht Alliance,,
Jan-Peter Warnke,Germany,,BSW,Non-Inscrits,Q126728517,2024-07-16,1959-01-01,Dresden,,politician,,Sahra Wagenknecht Alliance,,
Andreas Glück,Germany,,FDP,Renew Europe,Q497480,2024-07-16,1975-03-08,Münsingen,University of Tübingen,physician || politician,,Free Democratic Party,,member of the Landtag of Baden-Württemberg (2016-05-01 to 2019-07-10) || member of the Landtag of Baden-Württemberg (2011-05-01 to 2016-04-30)
Svenja Hahn,Germany,,FDP,Renew Europe,Q63348799,2024-07-16,1989-07-25,Hamburg,Humboldt-Universität zu Berlin || University of Giessen,politician,,Free Democratic Party,,
Moritz Körner,Germany,,FDP,Renew Europe,Q30010698,2024-07-16,1990-08-03,Wiesbaden,,politician,,Free Democratic Party,,member of the Landtag of North Rhine-Westphalia
Jan-Christoph Oetjen,Germany,,FDP,Renew Europe,Q111435,2024-07-16,1978-02-21,Rotenburg an der Wümme,Leibniz University Hannover,politician,,Free Democratic Party,,member of the Landtag of Lower Saxony || member of the Landtag of Lower Saxony || member of the Landtag of Lower Saxony || member of the Landtag of Lower Saxony
Marie-Agnes Strack-Zimmermann,Germany,,FDP,Renew Europe,Q15391841,2024-07-16,1958-03-10,Düsseldorf,,politician,,Free Democratic Party,"Order of Merit (Ukraine), 3rd class",member of the German Bundestag (2017-10-24 to 2021-10-26) || member of the German Bundestag (2021-10-26 to 2024-07-15)
Özlem Demirel-Böhlke,Germany,,Left,The Left,,,,,,,,,,
Martin Günther,Germany,,Left,The Left,Q135261368,2025-09-16,1982-01-01,East Berlin,,politician,,,,
Martin Schirdewan,Germany,,Left,The Left,Q17124693,2024-07-16,1975-07-12,East Berlin,Freie Universität Berlin,politician || journalist,,Die Linke,,president (from 2019-07-02)
Engin Eroglu,Germany,,FW,Renew Europe,,,,,,,,,,
Christine Singer,Germany,,FW,Renew Europe,Q126489352,2024-07-16,1965-07-24,Weilheim in Oberbayern,,politician,,,,
Joachim Streit,Germany,,FW,Renew Europe,Q105964502,2024-07-16,1965-06-04,Trier,Trier University || Staatliches Eifel-Gymnasium Neuerburg,politician,,Free Voters,,member of Landtag of Rhineland-Palatinate (2021-05-18 to 2024-07-15) || Landrat (2009-12-16 to 2021-05-18) || mayor (1997-01-01 to 2009-01-01)
Damian Boeselager,Germany,,Volt,Greens/EFA,Q63532607,2024-07-16,1988-03-08,Frankfurt,Columbia University || Hertie School || University of Bayreuth || Aloisiuskolleg,politician || journalist || business consultant,McKinsey & Company,Volt Europa,,
Nela Riehl,Germany,,Volt,Greens/EFA,Q126478233,2024-07-16,1985-09-11,Hamburg,University of Hamburg,politician || school teacher,,Volt Europa,,
Kai Tegethoff,Germany,,Volt,Greens/EFA,Q126541156,2024-07-16,1984-07-19,Cologne,University of Applied Sciences Trier,politician || research fellow,,Volt Europa,,
Sibylle Berg,Germany,,PARTEI,Non-Inscrits,Q71618,2024-07-16,1962-06-02,Weimar,University of Hamburg || Accademia Teatro Dimitri,writer || politician || playwright || columnist || university teacher || novelist,,,Literaturpreis der Universitätsstadt Marburg und des Landkreises Marburg-Biedenkopf || Swiss Book Prize || Else-Lasker-Schüler-Dramatikerpreis || Thüringer Literaturpreis || Nestroy Theatre Prize || Wolfgang Koeppen Award || Grand Prix of the Swiss Literature Award,
Martin Sonneborn,Germany,,PARTEI,Non-Inscrits,Q87485,2024-07-16,1965-05-15,Göttingen,,writer || politician || journalist,Spiegel-Verlag,Die PARTEI,,editor-in-chief (2000-01-01 to 2005-01-01)
Sebastian Everding,Germany,,PMUT,The Left,Q126464268,2024-07-16,1983-01-11,Dortmund,,politician,,,,
Manuela Ripa,Germany,,ÖDP,EPP,Q96682831,2024-07-16,1976-01-01,Saarbrücken,Saarland University || Gymnasium am Rotenbühl,politician,,Ecological Democratic Party,,
Niels Geuking,Germany,,FAM,EPP,Q124331972,2024-07-16,1992-11-17,Coesfeld,,politician,,,,
Lukas Sieper,Germany,,PDF,Non-Inscrits,Q126504150,2024-07-16,1997-03-22,Bergisch Gladbach,University of Cologne,politician,,Party of Progress,,
Giorgos Aftias,Greece,,ND,EPP,Q4054307,2024-07-16,1956-07-25,Samos,National and Kapodistrian University of Athens,politician || journalist,Alpha TV || Skai TV || ANT1 || Alter Channel,New Democracy,,
Vangelis Meimarakis,Greece,,ND,EPP,,,,,,,,,,
Eliza Vozemberg,Greece,,ND,EPP,Q16061914,2024-07-16,1956-09-14,Athens,National and Kapodistrian University of Athens,lawyer || politician,,New Democracy,,member of the Hellenic Parliament (2009-01-01 to 2012-01-01)
Fredis Beleris,Greece,,ND,EPP,Q118669796,2024-07-16,1972-08-09,Himarë,Panteion University,politician,,New Democracy || Together We Win,,
Eleonora Meleti,Greece,,ND,EPP,Q12876899,2024-07-16,1978-09-17,Athens,National and Kapodistrian University of Athens,writer || politician || television presenter || journalist || radio producer,Alpha TV || Mega Channel || ANT1 || Star Channel || Alter Channel,New Democracy,,
Manolis Kefalogiannis,Greece,,ND,EPP,Q6751217,2024-07-16,1959-05-25,Heraklion,London School of Economics and Political Science || National and Kapodistrian University of Athens || University of Reading,politician,,New Democracy,,member of the Hellenic Parliament || Representative of the Parliamentary Assembly of the Council of Europe (2009-01-26 to 2009-11-20) || Undersecretary of Transport and Communications of Greece || Minister of Shipping and Island Policy (Greece)
Dimitris Tsiodras,Greece,,ND,EPP,Q65274420,2024-07-16,1959-10-26,Manaris,National and Kapodistrian University of Athens || The Fletcher School of Law and Diplomacy,politician || journalist,,New Democracy,,
Kostas Arvanitis,Greece,,SYRIZA,The Left,Q64995541,2024-07-16,1964-06-09,Athens,,politician || journalist,,SYRIZA,,
Nikolas Farantouris,Greece,,SYRIZA,The Left,Q120912782,2024-07-16,1976-01-28,Athens,University of Oxford || National and Kapodistrian University of Athens,writer || lawyer || politician || university teacher,,SYRIZA,,
Nikos Pappas,Greece,,SYRIZA,The Left,Q18913642,2024-07-16,1976-07-16,Athens,,politician || economist,,SYRIZA || Communist Party of Greece (Interior),,President of the Parliamentary Group (2024-08-27 to 2024-11-24) || member of the Hellenic Parliament (from 2015-10-03) || Minister of State (Greece) || Leader of the Opposition (2024-08-27 to 2024-11-21)
Elena Kountoura,Greece,,SYRIZA,The Left,Q18641022,2024-07-16,1962-11-02,Athens,National and Kapodistrian University of Athens,politician || model || athletics competitor,,SYRIZA || New Democracy || Independent Greeks,,Representative of the Parliamentary Assembly of the Council of Europe (2014-06-23 to 2015-04-19) || Q23836187 || member of the Hellenic Parliament (from 2015-10-03)
Nikos Papandreou,Greece,,PASOK,S&D,,,,,,,,,,
Giannis Maniatis,Greece,,PASOK,S&D,,,,,,,,,,
Sakis Arnaoutoglou,Greece,,PASOK,S&D,Q48297632,2024-07-16,1971-12-13,Thessaloniki,Aristotle University of Thessaloniki || Sprachen & Dolmetscher Institut München,politician || weather presenter,Hellenic Broadcasting Corporation,PASOK – Movement for Change,,
Emmanouil Fragkos,Greece,,EL,ECR,,,,,,,,,,
Galato Alexandraki,Greece,,EL,ECR,Q126486927,2024-07-16,1948-12-11,Koufovouno,,politician || pensioner,,Greek Solution,,
Lefteris Nikolaou-Alavanos,Greece,,KKE,Non-Inscrits,Q64762049,2024-07-16,1985-02-07,Athens,National and Kapodistrian University of Athens,politician,,Communist Party of Greece,,
Konstantinos Papadakis,Greece,,KKE,Non-Inscrits,Q17265926,2024-07-16,1975-04-18,Athens,,politician,,Communist Party of Greece,,
Nikos Anadiotis,Greece,,NIKI,Non-Inscrits,Q61770146,2024-07-16,1983-02-10,Athens,,actor || politician || model,,Victory,,
Maria Zacharia,Greece,,PE,Non-Inscrits,Q126595838,2024-07-16,1976-01-01,Piraeus,,politician || employee || trade unionist,,Course of Freedom,,
Afroditi Latinopoulou,Greece,,FL,Patriots for Europe,Q126485167,2024-07-16,1991-04-29,Thessaloniki,Aristotle University of Thessaloniki,lawyer || politician || radio producer || tennis player || tennis coach,,New Democracy || National Creation || PATRIDA || Voice of Reason,,
Tamás Deutsch,Hungary,,Fidesz–KDNP,Patriots for Europe,Q645267,2024-07-16,1966-07-27,Budapest,"Eötvös Loránd University || Saint Margaret High School, Budapest",lawyer || politician,,Fidesz,honorary citizenship || Petőfi Prize,member of the National Assembly of Hungary (1990-05-02 to 1998-06-17) || member of the National Assembly of Hungary (2002-05-15 to 2009-07-13) || member of the National Assembly of Hungary (1998-06-18 to 2002-05-14) || Minister of Youth and Sports Affairs in Hungary (1999-01-01 to 2002-05-26)
Csaba Dömötör,Hungary,,Fidesz–KDNP,Patriots for Europe,Q55752813,2024-09-22,1982-09-13,Budapest,Corvinus University of Budapest,politician,,Fidesz,,member of the National Assembly of Hungary (2018-05-08 to 2022-05-01) || member of the National Assembly of Hungary (2022-05-02 to 2024-09-30)
Kinga Gál,Hungary,,Fidesz–KDNP,Patriots for Europe,Q721647,2024-07-16,1970-09-06,Cluj-Napoca,Eötvös Loránd University,politician || jurist,,Fidesz,,
András Gyürk,Hungary,,Fidesz–KDNP,Patriots for Europe,Q281433,2024-07-16,1972-12-02,Budapest,"Eötvös Loránd University || Budapest Business School Faculty of Finance and Accountancy || Franciscan Gymnasium, Szentendre",politician,,Fidesz,,substitute member of the Parliamentary Assembly of the Council of Europe (1998-09-21 to 1999-09-20) || member of the National Assembly of Hungary (1998-06-18 to 2004-07-18)
Balázs Győrffy,Hungary,,Fidesz–KDNP,Patriots for Europe,Q4853187,2024-07-16,1979-04-21,Pápa,,politician,,Fidesz,,mayor of a place in Hungary (2006-01-01 to 2014-01-01) || member of the National Assembly of Hungary (2022-05-02 to 2024-07-09) || member of the National Assembly of Hungary (2010-05-14 to 2022-05-01)
